material,domain_category,unit,ghg_kgco2e_per_kg,recyclable,notes,score_0_100
Cotton (conventional),clothing,kg,3.0,limited,High water; pesticide use varies,95.9
Cotton (organic),clothing,kg,1.8,limited,Lower agrochemical inputs; often rainfed,97.6
"Polyester (PET, virgin)",clothing,kg,2.8,yes,Microfiber shedding risk,96.1
"Polyester (rPET, recycled)",clothing,kg,1.1,yes,Lower GHG than virgin,98.6
Nylon 6,clothing,kg,5.4,yes,Higher GHG vs PET,92.4
"Nylon 6,6",clothing,kg,6.6,yes,Adipic acid N2O driver,90.7
Wool (greasy fiber),clothing,kg,27.0,yes,Enteric methane; durable use-phase,61.5
Viscose (rayon),clothing,kg,3.0,limited,Dissolving pulp; chemical processing,95.9
Lyocell (Tencel),clothing,kg,2.0,limited,Closed-loop solvent system,97.3
Modal,clothing,kg,2.5,limited,MMCF variant,96.6
Acrylic (PAN),clothing,kg,6.0,limited,High energy precursor,91.6
Elastane (Spandex),clothing,kg,9.0,limited,"Small % of garment, high GHG",87.3
Linen (flax),clothing,kg,1.8,limited,Lower inputs; retting impacts vary,97.6
Hemp fiber,clothing,kg,1.6,limited,Low inputs; bast fiber,97.9
Silk,clothing,kg,10.0,limited,Energy for rearing/processing,85.8
Leather (bovine),clothing,kg,17.0,limited,Allocation w/ beef; tanning chemistry,75.8
Bamboo viscose,clothing,kg,3.2,limited,Chemically processed cellulose,95.6
Cupro,clothing,kg,3.0,limited,Copper-ammonia process,95.9
Acetate,clothing,kg,3.5,limited,Cellulose acetate,95.1
Triacetate,clothing,kg,4.0,limited,Similar to acetate,94.4
Merino wool,clothing,kg,27.0,yes,Similar to wool generic,61.5
Cashmere,clothing,kg,45.0,limited,High methane; low yield per animal,35.8
Alpaca,clothing,kg,20.0,limited,Camelid fiber; regional variance,71.5
Natural rubber (NR),clothing,kg,2.7,yes,Plantation impacts vary,96.3
PU synthetic leather,clothing,kg,6.0,limited,Polyurethane-coated textile,91.6
PVC synthetic leather,clothing,kg,7.0,limited,Chlorinated polymer concerns,90.1
Ramie,clothing,kg,2.0,limited,Bast fiber,97.3
Jute,clothing,kg,1.6,limited,Bast fiber,97.9
Kenaf,clothing,kg,1.6,limited,Bast fiber,97.9
Abaca,clothing,kg,1.8,limited,Leaf fiber,97.6
Pineapple leaf fiber,clothing,kg,1.8,limited,Byproduct fiber,97.6
PET (bottle grade),general materials,kg,2.8,yes,PlasticsEurope eco-profiles,96.1
HDPE,general materials,kg,1.9,yes,Common packaging,97.4
LDPE,general materials,kg,1.9,yes,Film applications,97.4
LLDPE,general materials,kg,2.0,yes,Film,97.3
PP,general materials,kg,1.8,yes,Rigid/flexible packaging,97.6
PS (general purpose),general materials,kg,3.3,yes,Styrenics,95.4
HIPS,general materials,kg,3.4,yes,Impact-modified PS,95.3
